Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng,color
2018,Seguridad,Comuna 12,Camaras de Seguridad 24 hrs calles de Tamborini e Ibera,233,-34.5651,-58.4879,#E06658
2018,Seguridad,Comuna 12,Camaras de Seguridad,214,-34.5605,-58.4863,#E06658
2018,Plazas y parques,Comuna 12,Wifi para parque saavedra,247,-34.5501,-58.4804,#85E45D
2018,Movilidad y transito,Comuna 12,Hacen falta estaciones de EcoBici hacia Belgrano Villa Urquiza etc hay ciclovi,356,-34.5767,-58.4945,#86A0DB
2018,Seguridad,Comuna 12,Camaras para la Plaza calles Miller Monroe y Montenegro,229,-34.5712,-58.4808,#E06658
2019,Seguridad,Comuna 12,Camaras de Seguridad barrio de Villa Urquiza,96,-34.5733,-58.4906,#E06658
2017,Educacion,Comuna 13,Instalacion de paneles solares en escuelas publica 12,433,-34.5541,-58.4698,#DDD7A9
2017,Movilidad y transito,Comuna 13,Se?alizacion electronica paradas de colectivos,551,-34.5486,-58.4626,#86A0DB
2017,Cultura,Comuna 13,Bibliotecas ambulantes ( book truks ),397,-34.5563,-58.455,#87E2A8
2017,Innovacion,Comuna 13,Wi fi en la pza barrancas de belgrano,509,-34.5603,-58.4483,#DAB6CB
2017,Movilidad y transito,Comuna 13,Paradas ecologicas metrobus cabildo cargadores de bateria,386,-34.5753,-58.4347,#86A0DB
2017,Movilidad y transito,Comuna 13,Estacionamien to publico para bicis,418,-34.5593,-58.459,#86A0DB
2017,Ferias y Mercados,Comuna 13,Feria de productore s,510,-34.5621,-58.4576,#9573D9
2017,Educacion,Comuna 13,En escuelas primarias ense?anza de huerto vertical con elementos reciclables,489,-34.5488,-58.4633,#DDD7A9
2017,Deportes y calidad de vida,Comuna 13,Yoga para todos,411,-34.5563,-58.457,#9DDBDF
2017,Reciclado,Comuna 13,Campa?a educativa para el reciclaje,278,-34.5593,-58.455,#7B9787
2017,Educacion,Comuna 13,Pintura para la escuela de belgrano,388,-34.5641,-58.4506,#DDD7A9
2017,Innovacion,Comuna 13,Wifi en plaza castelli,301,-34.5679,-58.4646,#DAB6CB
2017,Plazas y parques,Comuna 13,Juegos para los chicos en la plaza castelli,260,-34.5676,-58.4647,#85E45D
2017,Deportes y calidad de vida,Comuna 13,Kung fu en parques,184,-34.5613,-58.4549,#9DDBDF
2017,Deportes y calidad de vida,Comuna 13,Clases deportivas voluntarias,346,-34.5603,-58.453,#9DDBDF
2017,Deportes y calidad de vida,Comuna 13,Campa?a voluntaria,263,-34.5553,-58.46,#9DDBDF
2017,Educacion,Comuna 13,Pintura para la escuela numero 3 (colegiales),486,-34.5726,-58.4424,#DDD7A9
2017,Educacion,Comuna 13,Instalacion de paneles solares en escuelas publicas,455,-34.5465,-58.4608,#DDD7A9
2017,Reciclado,Comuna 13,Limpieza semanal a los contenedores,431,-34.5613,-58.456,#7B9787
2017,Plazas y parques,Comuna 13,Uso de energia solar en plazas y parques,852,-34.5591,-58.4506,#85E45D
2017,Arte urbano,Comuna 13,Intervencion persianas en comercios de la comuna 13:belgrano colegiales nu?ez,262,-34.5613,-58.4782,BB45E0
2018,Movilidad y transito,Comuna 13,BICICLETAS Plaza Noruega en Belgrano,429,-34.5621,-58.4587,#86A0DB
2018,Seguridad,Comuna 13,Camaras de Seguridad zona del barrio de Belgrano,606,-34.5591,-58.4564,#E06658
2018,Deportes y calidad de vida,Comuna 13,Deporte Plaza con maquinas,241,-34.555,-58.4577,#9DDBDF
2018,Seguridad,Comuna 13,CAMARAS DE Seguridad barrio de colegiales,418,-34.5756,-58.4549,#E06658
2018,Movilidad y transito,Comuna 13,estacion ecobici en belgrano libertador y sucre,374,-34.5587,-58.4461,#86A0DB
2018,Seguridad,Comuna 13,Camara de Seguridad 11 de Septiembre entre Quesada e Ibera,351,-34.5508,-58.4577,#E06658
2018,Movilidad y transito,Comuna 13,movilidad y transito calle Virrey Olaguer Y Feliu,225,-34.5732,-58.4569,#86A0DB
2018,Movilidad y transito,Comuna 13,Arreglo de ve#E06658as en Belgrano  calle Roosevelt entre Arcos y Cuba,230,-34.5557,-58.4579,#86A0DB
2018,Movilidad y transito,Comuna 13,Reparacion de ve#E06658as rotas en Belgrano Plaza Noruega calle Ciudad de la paz,223,-34.5622,-58.4588,#86A0DB
2018,Movilidad y transito,Comuna 13,Arreglo de ve#E06658as rotas en Av Cabildo desde Sucre,316,-34.564,-58.4552,#86A0DB
2018,Ferias y Mercados,Comuna 13,Ferias con productos organicos Cramer y Olleros,494,-34.5741,-58.446,#9573D9
2018,Seguridad,Comuna 13,Camaras de Seguridad en Belgrano calle Jose Hernandez,405,-34.5638,-58.4497,#E06658
2018,Movilidad y transito,Comuna 13,Mas puestos de bicicletas en Belgrano y Nu??ez,390,-34.5538,-58.4589,#86A0DB
2018,Seguridad,Comuna 13,Mas Seguridad  zona de alvarez tomas hasta conesa y cramer,343,-34.5664,-58.4615,#E06658
2018,Seguridad,Comuna 13,Camaras de Seguridad ,310,-34.5603,-58.458,#E06658
2018,Ferias y Mercados,Comuna 13,Mas ferias itinerantes en Belgrano,398,-34.5608,-58.4547,#9573D9
2018,Movilidad y transito,Comuna 13,Semaforo con reloj Av. Cabildo y Jos?? Hernandez,429,-34.5656,-58.4534,#86A0DB
2018,Plazas y parques,Comuna 13,Plazoleta Santa Maria de los Buenos Ayres,182,-34.5679,-58.4574,#85E45D
2018,Seguridad,Comuna 13,Camaras de Seguridad en Nu?ez calle Jaramillo entre Arribe??os y 11 de Septiembre,340,-34.5447,-58.4621,#E06658
2018,Seguridad,Comuna 13,CUIDEMOS ALOS ALUNMOS ADOLECENTES COR#E06658ORES ESCOLES,418,-34.5453,-58.4587,#E06658
2018,Plazas y parques,Comuna 13,Dispenser de bolsitas en la plaza plaza de Jorge Newbery y Zapiola,152,-34.5772,-58.4458,#85E45D
2018,Seguridad,Comuna 13,camaras de Seguridad Avenida Libertador ubicada en el barrio de palermo,276,-34.5471,-58.4569,#E06658
2018,Seguridad,Comuna 13,Seguridad barrio de nu??ez,383,-34.5488,-58.4656,#E06658
2018,Seguridad,Comuna 13,Camaras de Seguridad en Belgrano La Pampa y 3 de Febrero,442,-34.5622,-58.4497,#E06658
2018,Seguridad,Comuna 13,Camaras de Seguridad  atras de la cancha de golf,321,-34.5402,-58.4604,#E06658
2018,Movilidad y transito,Comuna 13,que los ciclistas no anden en contramano x calles y avenidas,205,-34.5546,-58.4637,#86A0DB
2019,Movilidad y transito,Comuna 13,Arreglo de ve#E06658as y rampas Av Monroe venida Monroe desde el 2500 al 3000,154,-34.5638,-58.4687,#86A0DB
2019,Seguridad,Comuna 13,Camaras de Seguridad barrio de belgrano Amenabar desde Av Federico Lacroze hasta Juramento,218,-34.5632,-58.4586,#E06658
2019,Movilidad y transito,Comuna 13,Arreglo de ve#E06658as,143,-34.5462,-58.4623,#86A0DB
2019,Movilidad y transito,Comuna 13,Bici sendas,163,-34.5449,-58.4595,#86A0DB
2019,Movilidad y transito,Comuna 13,Lomas de burro o semaforos en belgrano R Olazabal entre conde y zapiola,100,-34.5654,-58.4671,#86A0DB
2019,Seguridad,Comuna 13,Comuna 13 segura,205,-34.5555,-58.4624,#E06658
2019,Movilidad y transito,Comuna 13,Arreglo barrial,114,-34.5744,-58.452,#86A0DB
2017,Movilidad y transito,Comuna 14,Se?alizacion electronica paradas de colectivos,610,-34.5899,-58.4245,#86A0DB
2017,Movilidad y transito,Comuna 14,Campa?a de educacion vial para ciclistas,346,-34.575,-58.4142,#86A0DB
2017,Plazas y parques,Comuna 14,Arbolado urbano,439,-34.5756,-58.4189,#85E45D
2017,Deportes y calidad de vida,Comuna 14,Fomentar la practica del ajedrez en plazas y parques,296,-34.5889,-58.4251,#9DDBDF
2017,Plazas y parques,Comuna 14,Parque de voley playa,355,-34.5663,-58.4153,#85E45D
2017,Plazas y parques,Comuna 14,Iluminacion en las plazas,308,-34.5792,-58.4102,#85E45D
2017,Mascotas,Comuna 14,Parque de mascotas,296,-34.5916,-58.4201,#D6D45C
2017,Deportes y calidad de vida,Comuna 14,Actividades en plazas y parques,305,-34.5887,-58.4302,#9DDBDF
2017,Reciclado,Comuna 14,Fomentacion sobre el Reciclado en palermo,335,-34.5819,-58.4247,#7B9787
